Date,High,Low,Open,Close,Volume,Adj Close
2017-05-11,46180.0,45220.0,45420.0,45500.0,21277850.0,39413.78515625
2017-05-12,46160.0,45660.0,45760.0,45820.0,9422900.0,39690.9765625
2017-05-15,46280.0,45620.0,45620.0,46100.0,8001400.0,39933.5390625
2017-05-16,46800.0,46100.0,46660.0,46380.0,8803750.0,40176.0703125
2017-05-17,46640.0,46100.0,46120.0,46340.0,7424450.0,40141.43359375
2017-05-18,46000.0,45540.0,45740.0,45940.0,11160350.0,39794.94140625
2017-05-19,45780.0,44720.0,45640.0,44720.0,15762350.0,38738.11328125
2017-05-22,45380.0,44760.0,45040.0,45100.0,17643550.0,39067.29296875
2017-05-23,45580.0,44900.0,45400.0,44920.0,12607050.0,38911.3671875
2017-05-24,45300.0,44800.0,44860.0,44880.0,8675400.0,38876.71875
2017-05-25,45680.0,44800.0,45160.0,45680.0,13044800.0,39569.71484375
2017-05-26,46460.0,45540.0,45600.0,46080.0,13613650.0,39916.20703125
2017-05-29,46400.0,45380.0,46220.0,45620.0,8739550.0,39517.7421875
2017-05-30,45660.0,44480.0,45520.0,44640.0,12433600.0,38668.83203125
2017-05-31,45020.0,44400.0,44580.0,44700.0,18669100.0,38720.80078125
2017-06-01,44900.0,44400.0,44860.0,44680.0,9753500.0,38703.46875
2017-06-02,45960.0,45000.0,45060.0,45960.0,12488750.0,39812.25
2017-06-05,46360.0,45720.0,46040.0,45940.0,7599400.0,39794.94140625
2017-06-07,46500.0,45240.0,46500.0,45300.0,13729400.0,39240.5390625
2017-06-08,45580.0,45000.0,45000.0,45160.0,13978750.0,39119.26953125
2017-06-09,46440.0,45600.0,45680.0,46100.0,11732850.0,39933.5390625
2017-06-12,45600.0,45140.0,45420.0,45380.0,10954300.0,39309.84375
2017-06-13,45620.0,45140.0,45140.0,45400.0,8624900.0,39327.1640625
2017-06-14,46060.0,45240.0,45800.0,45360.0,10166700.0,39292.51171875
2017-06-15,45920.0,45180.0,45680.0,45680.0,9657000.0,39569.71484375
2017-06-16,45940.0,45460.0,45500.0,45580.0,17403450.0,39483.09765625
2017-06-19,46560.0,45560.0,45580.0,46560.0,11303900.0,40331.99609375
2017-06-20,48140.0,47220.0,47240.0,48140.0,15045000.0,41700.65625
2017-06-21,48120.0,47480.0,47740.0,47480.0,9973650.0,41128.9296875
2017-06-22,48080.0,47720.0,47960.0,47960.0,11455800.0,41544.734375
2017-06-23,47780.0,47420.0,47600.0,47620.0,9515100.0,41250.2109375
2017-06-26,48360.0,47520.0,47520.0,48280.0,8552800.0,41821.9296875
2017-06-27,48400.0,47900.0,48220.0,48300.0,9616750.0,41839.2578125
2017-06-28,48000.0,47560.0,47600.0,47700.0,9572500.0,41319.5078125
2017-06-29,48320.0,47940.0,48040.0,47940.0,8306550.0,41649.64453125
2017-06-30,47620.0,47100.0,47500.0,47540.0,11877550.0,41302.12890625
2017-07-03,47780.0,47120.0,47500.0,47220.0,6805550.0,41024.125
2017-07-04,47400.0,46900.0,47160.0,47000.0,7961000.0,40832.9921875
2017-07-05,47680.0,46780.0,46820.0,47580.0,10640250.0,41336.890625
2017-07-06,48100.0,47720.0,48000.0,48060.0,10923050.0,41753.8984375
2017-07-07,48120.0,47620.0,47740.0,47860.0,8131900.0,41580.1484375
2017-07-10,48900.0,48320.0,48500.0,48660.0,10792750.0,42275.171875
2017-07-11,49000.0,48280.0,48640.0,49000.0,9717800.0,42570.5625
2017-07-12,50000.0,48840.0,49000.0,49880.0,9486150.0,43335.09375
2017-07-13,50940.0,50040.0,50080.0,50560.0,16034150.0,43925.8671875
2017-07-14,51080.0,50420.0,51000.0,50480.0,8239000.0,43856.37109375
2017-07-17,51020.0,50520.0,50900.0,50640.0,8976100.0,43995.37109375
2017-07-18,50880.0,50360.0,50420.0,50840.0,7084450.0,44169.13671875
2017-07-19,50820.0,50000.0,50620.0,50740.0,11157500.0,44082.25
2017-07-20,51320.0,50560.0,50760.0,51200.0,8367600.0,44481.890625
2017-07-21,51160.0,50520.0,50860.0,51080.0,8449050.0,44377.63671875
2017-07-24,51000.0,50620.0,50700.0,50860.0,7099750.0,44186.5078125
2017-07-25,50760.0,49940.0,50500.0,50000.0,10810600.0,43439.34375
2017-07-26,50020.0,49300.0,49600.0,49840.0,11224800.0,43300.34375
2017-07-27,50640.0,49560.0,50000.0,49800.0,11449500.0,43265.5859375
2017-07-28,49800.0,47380.0,49800.0,47760.0,26168300.0,41493.26171875
2017-07-31,48240.0,46920.0,47420.0,48200.0,12701400.0,41875.53515625
2017-08-01,48840.0,47540.0,48000.0,48600.0,11369500.0,42223.046875
2017-08-02,49340.0,48600.0,49200.0,49000.0,7777450.0,42570.5625
2017-08-03,49000.0,47120.0,49000.0,47780.0,15540800.0,41510.64453125
2017-08-04,48180.0,47500.0,48160.0,47700.0,8359200.0,41441.13671875
2017-08-07,48080.0,47440.0,47500.0,47580.0,7218250.0,41336.890625
2017-08-08,48260.0,47480.0,47980.0,47720.0,7979600.0,41458.51171875
2017-08-09,47400.0,46240.0,47400.0,46280.0,14555400.0,40207.46484375
2017-08-10,46320.0,45460.0,46200.0,45900.0,22986150.0,39877.32421875
2017-08-11,45300.0,44220.0,45120.0,44620.0,25407300.0,38765.2734375
2017-08-14,45400.0,44720.0,45120.0,45000.0,19185600.0,39095.41015625
2017-08-16,46380.0,46000.0,46220.0,46200.0,21913650.0,40137.9609375
2017-08-17,47300.0,46740.0,46960.0,47040.0,12415850.0,40867.74609375
2017-08-18,47240.0,46240.0,46760.0,46900.0,10477950.0,40746.10546875
2017-08-21,47240.0,46580.0,47240.0,46840.0,5103450.0,40693.98046875
2017-08-22,47160.0,46700.0,46820.0,47000.0,7381750.0,40832.9921875
2017-08-23,47780.0,47180.0,47780.0,47480.0,9384700.0,41250.0078125
2017-08-24,47660.0,47340.0,47520.0,47520.0,8657450.0,41284.76171875
2017-08-25,47880.0,46720.0,47880.0,47020.0,11243550.0,40850.359375
2017-08-28,47240.0,45960.0,47020.0,46100.0,9962100.0,40051.07421875
2017-08-29,46080.0,45160.0,45640.0,46080.0,12623650.0,40033.6953125
2017-08-30,46400.0,45960.0,46380.0,46200.0,7513000.0,40137.9609375
2017-08-31,46640.0,46000.0,46220.0,46320.0,11011700.0,40242.2109375
2017-09-01,46640.0,46300.0,46460.0,46480.0,10641700.0,40381.2109375
2017-09-04,46360.0,45500.0,45780.0,46040.0,7943500.0,39998.94921875
2017-09-05,46900.0,45960.0,46240.0,46760.0,11716100.0,40624.48046875
2017-09-06,47180.0,46700.0,46760.0,47000.0,10811050.0,40832.9921875
2017-09-07,48220.0,47000.0,47000.0,48120.0,9676500.0,41806.03125
2017-09-08,49180.0,48580.0,48700.0,49080.0,10893000.0,42640.0625
2017-09-11,50180.0,49500.0,49700.0,49800.0,10374750.0,43265.5859375
2017-09-12,50220.0,49140.0,50200.0,49600.0,12029750.0,43091.83984375
2017-09-13,50400.0,49440.0,49820.0,49620.0,9357000.0,43109.21875
2017-09-14,50320.0,49760.0,50060.0,50300.0,14204750.0,43699.984375
2017-09-15,50560.0,49860.0,50300.0,50400.0,10757300.0,43786.86328125
2017-09-18,52480.0,50520.0,50540.0,52480.0,11524950.0,45593.9453125
2017-09-19,52640.0,51780.0,52500.0,52120.0,9850400.0,45281.171875
2017-09-20,52500.0,51840.0,52120.0,52220.0,9292750.0,45368.0546875
2017-09-21,52960.0,52220.0,52220.0,52800.0,8839800.0,45871.953125
2017-09-25,53680.0,53000.0,53000.0,53620.0,9303100.0,46584.35546875
2017-09-26,53620.0,53620.0,53620.0,53620.0,0.0,46584.35546875
2017-09-27,52200.0,51500.0,52000.0,51680.0,10797000.0,44898.90625
2017-09-28,52460.0,51260.0,52260.0,51260.0,12025450.0,44654.98828125
2017-09-29,51620.0,50840.0,51180.0,51280.0,12909400.0,44672.41015625
2017-10-10,53640.0,52800.0,53360.0,52800.0,20519800.0,45996.5546875
2017-10-11,54760.0,53340.0,53600.0,54640.0,13652150.0,47599.47265625
2017-10-12,55160.0,54100.0,54840.0,54800.0,13890700.0,47738.84765625
2017-10-13,54840.0,53780.0,54540.0,54000.0,12601650.0,47041.93359375
2017-10-16,54860.0,53760.0,53980.0,53920.0,9769950.0,46972.23828125
2017-10-17,55380.0,54000.0,54020.0,54800.0,10607800.0,47738.84765625
2017-10-18,55240.0,54040.0,54820.0,54760.0,10110750.0,47704.0078125
2017-10-19,54700.0,52980.0,54700.0,52980.0,12108700.0,46153.36328125
2017-10-20,54100.0,52800.0,52800.0,53840.0,8027050.0,46902.546875
2017-10-23,54640.0,54000.0,54600.0,54300.0,8311050.0,47303.28125
2017-10-24,54780.0,54040.0,54700.0,54040.0,5806050.0,47076.7734375
2017-10-25,54420.0,53700.0,54040.0,53900.0,5882850.0,46954.81640625
